순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,Year,Team
10,윤동희,롯데,0.293,141,613,532,97,156,35,4,14,241,85,2,5,2024,롯데
11,전준우,롯데,0.293,109,483,423,57,124,26,2,17,205,82,1,5,2024,롯데
14,박승욱,롯데,0.262,139,468,405,57,106,19,1,7,148,53,3,3,2024,롯데
2,안치홍,한화,0.300,128,533,473,64,142,21,0,13,202,66,1,4,2024,한화
4,김태연,한화,0.291,126,472,413,59,120,24,0,12,180,61,6,4,2024,한화
9,페라자,한화,0.275,122,522,455,75,125,24,0,24,221,70,0,2,2024,한화
10,노시환,한화,0.272,136,601,526,88,143,20,2,24,239,89,0,4,2024,한화
12,채은성,한화,0.271,124,498,436,61,118,24,0,20,202,83,0,5,2024,한화
3,박민우,NC,0.328,121,528,457,75,150,26,2,8,204,50,4,4,2024,NC
5,데이비슨,NC,0.306,131,567,504,90,154,25,1,46,319,119,0,7,2024,NC
6,권희동,NC,0.300,123,511,416,66,125,22,1,13,188,77,2,6,2024,NC
9,서호철,NC,0.285,141,567,512,68,146,19,3,10,201,61,6,3,2024,NC
13,김휘집,NC,0.258,140,562,488,78,126,24,1,16,200,73,4,8,2024,NC
14,김주원,NC,0.252,134,475,385,61,97,18,2,9,146,49,9,5,2024,NC
1,송성문,키움,0.340,142,602,527,88,179,29,4,19,273,104,0,8,2024,키움
3,김혜성,키움,0.326,127,567,509,90,166,26,4,11,233,75,0,7,2024,키움
5,이주형,키움,0.266,115,537,473,82,126,19,3,13,190,60,0,1,2024,키움
6,최주환,키움,0.257,130,544,482,49,124,23,1,13,188,84,0,9,2024,키움
